status	style	original	converted_tokens
converted		P_потерь	1
converted		d_k	1
converted		M_i	1
converted		ω_i	1
converted		a_i	1
converted		k_i	1
converted		t_k	1
converted		phase_k	1
converted		q_i	1
converted		ω_i	1
converted		a_i	1
converted		carrying_k	1
converted		M_rms	1
converted		E_i(W), P_i(t)=M_i(t)·	3
converted		M_rms	1
converted		M_i	1
converted		ω_i	1
converted		a_i	1
converted		HI_i	1
