time,run_id,scenario,cycle,segment,phase,layer,item,axis,q,omega,accel,torque,carrying,source_file
164.3,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,-0.0876178481,0.736584213,1.58421023,573.031521,0,long_live_01.jsonl
164.3,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,-6.84383832e-05,-0.00138482129,0.00152924002,-0.000140844778,0,long_live_01.jsonl
164.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor1,7.68380068e-05,-0.000137470325,-0.000131143819,3.27814061,0,long_live_01.jsonl
164.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor2,0.315102109,0.187651898,0.292363389,1344.53682,0,long_live_01.jsonl
164.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,0.259395384,0.970461401,1.16938594,621.224859,0,long_live_01.jsonl
164.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,-3.60920395e-05,-0.00082363007,0.00280595612,-0.000272766784,0,long_live_01.jsonl
164.75,long_live_01,S0,1,2,pick,4,water_bundle_2,motor1,3.54803792e-05,-0.000102211861,0.000141033856,3.95014223,0,long_live_01.jsonl
164.75,long_live_01,S0,1,2,pick,4,water_bundle_2,motor2,0.392624666,0.17237561,-0.0611051492,1722.81568,0,long_live_01.jsonl
164.75,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,0.641223741,0.884836246,-0.342500622,609.556127,0,long_live_01.jsonl
164.75,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,5.974937e-06,0.00140707403,0.00892281638,-0.000534783951,0,long_live_01.jsonl
164.95,long_live_01,S0,1,2,pick,4,water_bundle_2,motor1,8.85735101e-06,-6.02727154e-05,0.00020969573,5.24951767,0,long_live_01.jsonl
164.95,long_live_01,S0,1,2,pick,4,water_bundle_2,motor2,0.453981777,0.117136128,-0.27619741,1821.12364,0,long_live_01.jsonl
164.95,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,0.917333232,0.524210185,-1.8031303,506.387232,0,long_live_01.jsonl
164.95,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,1.38256565e-05,0.000154888463,-0.00626092781,0.000149400819,0,long_live_01.jsonl
165.25,long_live_01,S0,1,2,pick,4,water_bundle_2,motor1,-1.33501799e-05,-6.22337248e-06,0.000180164476,4.52069337,0,long_live_01.jsonl
165.25,long_live_01,S0,1,2,pick,4,water_bundle_2,motor2,0.486075067,0.0166665758,-0.334898508,1881.73679,0,long_live_01.jsonl
165.25,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,1.0413235,0.0835223602,-1.46895942,369.800923,0,long_live_01.jsonl
165.25,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,1.50897628e-05,-4.4702283e-05,-0.000665302488,6.20505967e-05,0,long_live_01.jsonl
165.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor1,-1.59494831e-05,7.16765314e-08,2.51801961e-05,3.02063419,0,long_live_01.jsonl
165.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor2,0.488636239,3.50825136e-05,-0.066525973,1954.33978,0,long_live_01.jsonl
165.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor3,1.04788632,0.00571709335,-0.311221067,201.952161,0,long_live_01.jsonl
165.5,long_live_01,S0,1,2,pick,4,water_bundle_2,motor4,1.88470354e-05,0.000571635882,0.00246535266,0,0,long_live_01.jsonl
165.75,long_live_01,S0,1,3,grip_contact,4,water_bundle_2,motor1,0.000501129964,0.000817544222,0.00326989018,4.28218206,0,long_live_01.jsonl
165.75,long_live_01,S0,1,3,grip_contact,4,water_bundle_2,motor2,0.48912609,0.00146443592,0.00571741361,1933.06482,0,long_live_01.jsonl
165.75,long_live_01,S0,1,3,grip_contact,4,water_bundle_2,motor3,1.04892924,0.00287950685,-0.011350346,198.097421,0,long_live_01.jsonl
165.75,long_live_01,S0,1,3,grip_contact,4,water_bundle_2,motor4,1.83851142e-05,6.12700637e-06,-0.0022620355,6.6302592e-05,0,long_live_01.jsonl
165.9,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor1,0.000531631869,-0.000124792343,-0.00628224376,2.91254174,1,long_live_01.jsonl
165.9,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor2,0.488953043,-0.00225605502,-0.0248032729,1920.13676,1,long_live_01.jsonl
165.9,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor3,1.04796118,-0.0120043038,-0.0992254041,282.940719,1,long_live_01.jsonl
165.9,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor4,3.80372206e-06,0.000114355229,0.000721521483,-8.0927092e-05,1,long_live_01.jsonl
166.05,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor1,0.000522777015,-4.0471744e-05,0.000562137324,5.15959208,1,long_live_01.jsonl
166.05,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor2,0.485274942,-0.0234730686,-0.141446757,1875.82752,1,long_live_01.jsonl
166.05,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor3,1.01444305,-0.190354318,-1.1890001,466.623899,1,long_live_01.jsonl
166.05,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor4,1.39620241e-05,-0.000522977835,-0.00424888709,0.00016319292,1,long_live_01.jsonl
166.3,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor1,0.000466597961,-0.000230853599,-0.000761527421,5.07559919,1,long_live_01.jsonl
166.3,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor2,0.437481826,-0.143367676,-0.479578431,1839.91645,1,long_live_01.jsonl
166.3,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor3,0.664697185,-0.813714384,-2.49344026,615.484713,1,long_live_01.jsonl
166.3,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor4,1.37699136e-05,-0.000519638501,1.33573323e-05,0.000184899962,1,long_live_01.jsonl
166.65,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor1,0.000298648838,-0.000329834588,-0.000282802825,3.70446847,1,long_live_01.jsonl
166.65,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor2,0.368108516,-0.191052745,-0.136243053,1596.42065,1,long_live_01.jsonl
166.65,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor3,0.364616777,-0.969882924,-0.446195828,661.043015,1,long_live_01.jsonl
166.65,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor4,1.15761989e-05,-0.000808326164,-0.000824821892,-0.000272559932,1,long_live_01.jsonl
166.85,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor1,0.000210455603,-0.000300293974,0.000147703072,2.85706519,1,long_live_01.jsonl
166.85,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor2,0.306120599,-0.184675795,0.0318847495,1309.13729,1,long_live_01.jsonl
166.85,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor3,0.0614310663,-0.90224413,0.338193968,605.774608,1,long_live_01.jsonl
166.85,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor4,1.30025054e-05,-0.000316273792,0.00246026186,-9.28264008e-05,1,long_live_01.jsonl
167.05,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor1,8.49034158e-05,-0.000212565677,0.000438641481,4.52466463,1,long_live_01.jsonl
167.05,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor2,0.254455431,-0.135002898,0.248364485,829.789344,1,long_live_01.jsonl
167.05,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor3,-0.174105901,-0.602222756,1.50010687,593.088414,1,long_live_01.jsonl
167.05,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor4,-6.07521766e-07,0.00110544949,0.00710861641,0.000657127589,1,long_live_01.jsonl
167.25,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor1,2.55033251e-05,-0.00011792839,0.000473186437,4.97652573,1,long_live_01.jsonl
167.25,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor2,0.217888304,-0.0558486581,0.3957712,511.148024,1,long_live_01.jsonl
167.25,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor3,-0.306658224,-0.284248293,1.58987231,615.063765,1,long_live_01.jsonl
167.25,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor4,1.04633839e-05,5.19030982e-05,-0.00526773196,0,1,long_live_01.jsonl
167.45,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor1,2.93856316e-06,-3.1190164e-05,0.000433691131,4.17011463,1,long_live_01.jsonl
167.45,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor2,0.209933429,-0.00903353776,0.234075601,530.471316,1,long_live_01.jsonl
167.45,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor3,-0.346120833,-0.044577935,1.19835179,774.340875,1,long_live_01.jsonl
167.45,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor4,-1.01877946e-05,-0.000350057978,-0.00200980538,0,1,long_live_01.jsonl
167.7,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor1,8.85338826e-05,0.000400504322,0.00172677794,8.08181246,1,long_live_01.jsonl
167.7,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor2,0.209394811,-0.00119425435,0.0313571336,637.790121,1,long_live_01.jsonl
167.7,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor3,-0.34681532,0.000464069916,0.18016802,853.520159,1,long_live_01.jsonl
167.7,long_live_01,S0,1,4,lift_with_load,4,water_bundle_2,motor4,6.46263651e-07,-0.00124015629,-0.00356039325,0.000597432404,1,long_live_01.jsonl
167.95,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor1,0.000131904058,-5.19325507e-05,-0.00180974749,7.51157327,1,long_live_01.jsonl
167.95,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor2,0.213035644,0.033062251,0.137026022,273.851465,1,long_live_01.jsonl
167.95,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor3,-0.346402177,-0.000675615308,-0.0045587409,838.065338,1,long_live_01.jsonl
167.95,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor4,-2.25215792e-05,-0.00148302077,-0.000971457913,8.14895199e-05,1,long_live_01.jsonl
168.15,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor1,7.51893322e-05,-0.000251203369,-0.000996354093,8.3989976,1,long_live_01.jsonl
168.15,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor2,0.253034429,0.1769484,0.719430743,778.32827,1,long_live_01.jsonl
168.15,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor3,-0.347426765,-0.00217947846,-0.00751931577,844.586506,1,long_live_01.jsonl
168.15,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor4,-3.27452352e-05,-0.00143173129,0.000256447397,-0.000223979448,1,long_live_01.jsonl
168.4,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor1,9.32439297e-06,-0.000100674618,0.000602115007,-4.46578886,1,long_live_01.jsonl
168.4,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor2,0.308980487,0.0378151002,-0.556533198,1488.12244,1,long_live_01.jsonl
