run_id,scenario,cycle,phase,axis,sample_count,time_start,time_end,duration,torque_mean,torque_max,torque_std,torque_rms,omega_max,accel_rms,energy,torque_slope
long_live_01,S0,1,place,motor2,20,169.75,181,11.25,1079.11939,1716.36401,633.010612,1243.04705,0.00161884897,0.00416874058,5.86957005,-107.350674
long_live_01,S0,1,place,motor3,20,169.75,181,11.25,850.893794,968.179893,60.6352775,852.943758,0.15642827,0.343921516,470.58345,5.97566222
long_live_01,S0,1,place,motor4,20,169.75,181,11.25,4.94439265e-07,0.000838348583,0.000322714055,0.000314543141,0.000917462313,0.00315540471,1.3295256e-06,-3.34325951e-06
long_live_01,S0,1,return_home,motor1,2,182.15,182.35,0.2,1.06447525,3.01428132,2.75744218,2.22145251,0.000274378533,0.00169856683,6.54733623e-05,19.4980607
long_live_01,S0,1,return_home,motor2,2,182.15,182.35,0.2,629.417935,636.840367,10.4969033,629.461699,0.000790879102,0.00965533634,0.136103725,-74.224315
long_live_01,S0,1,return_home,motor3,2,182.15,182.35,0.2,834.145684,854.665203,29.0189828,834.39803,0.00852592989,0.0353291878,1.39611324,205.195195
long_live_01,S0,1,return_home,motor4,2,182.15,182.35,0.2,-1.87702662e-05,3.75405324e-05,2.6545165e-05,2.6545165e-05,0.00143937393,0.00876633219,6.92084775e-10,-0.000187702662
long_live_01,S0,1,return_home_between_layers,motor1,4,181.25,181.95,0.7,2.74757629,4.81723773,2.87795708,3.70960283,0.000213494019,0.00114984765,0.000353988588,1.8733379
long_live_01,S0,1,return_home_between_layers,motor2,4,181.25,181.95,0.7,561.218338,726.974794,148.545191,575.773635,0.0586647299,0.178239824,11.8086029,335.139716
long_live_01,S0,1,return_home_between_layers,motor3,4,181.25,181.95,0.7,862.365944,966.958317,70.7396659,864.539239,0.156661118,0.511667593,39.5814258,-175.182404
long_live_01,S0,1,return_home_between_layers,motor4,4,181.25,181.95,0.7,-0.000289815531,0.000719583008,0.000335460689,0.000410357707,0.000590086913,0.00226858165,1.17044129e-07,-3.04323983e-05
long_live_01,S0,10,cycle_complete,motor1,4,1852.1,1852.9,0.8,2.17469718,2.17469718,0,2.17469718,0,0,0,0
long_live_01,S0,10,cycle_complete,motor2,4,1852.1,1852.9,0.8,627.651907,627.651907,0,627.651907,8.8817842e-14,0,5.94631338e-11,0
long_live_01,S0,10,cycle_complete,motor3,4,1852.1,1852.9,0.8,854.443167,854.443167,0,854.443167,0,0,0,0
long_live_01,S0,10,cycle_complete,motor4,4,1852.1,1852.9,0.8,-1.89478272e-05,1.89478272e-05,0,1.89478272e-05,8.8817842e-14,2.51214793e-13,4.48774699e-19,0
